StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Lon,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff
3,VIC,McMillan,227,28,Pakenham,Current,Pakenham Secondary College,1020 Princes Hwy,,,PAKENHAM,VIC,3810,4421,Secondary College,1020 Princes Hwy,PAKENHAM,,,Entrance to the polling place is from the carpark which is accessible from Princes Hwy. Other pedestrian a ccess is from Cunningham Cres.,-38.0706,145.472,2341809,Assisted,2667,494,6,5
3,VIC,McMillan,227,28,Pakenham Central,Current,Pakenham Uniting Church Hall,47 James St,,,PAKENHAM,VIC,3810,31058,Uniting Church Hall,47 James St,PAKENHAM,,,"Entrance to the polling place is in Main St.  There is also a carpark behind the polling place, which is accessible from James St.",-38.0772,145.482,2341807,Assisted,1448,377,3,4
3,VIC,McMillan,227,28,Pakenham Lakeside,Current,Lakeside Lutheran College,2 Portobello Rd,,,PAKENHAM,VIC,3810,46529,Lakeside Lutheran College,2 Portobello Rd,PAKENHAM,,,Entrance is from the car park accessed v ia Portobello Rd.,-38.0629,145.455,2341320,Assisted,1333,239,3,3
3,VIC,McMillan,227,28,Pakenham North,Current,Pakenham Hills Primary School,15 Kennedy Road,,,PAKENHAM,VIC,3810,4904,Pakenham Hills Primary School,cnr Army & Kennedy Rds,PAKENHAM,,,"Gateway entrance is in Kennedy Rd, altho ugh the school can also be entered from Army Rd.",-38.0583,145.495,2341415,Assisted,2763,398,6,4
3,VIC,McMillan,227,28,Pakenham Shearwater (McMillan),Current,Pakenham Lakeside Primary School,23 Shearwater Dr,,,PAKENHAM,VIC,3810,47818,Pakenham Lakeside Primary School,23 Shearwater Dr,PAKENHAM,,,Entrance to gym is from the car park acc essed via Shearwater Dr.,-38.0684335,145.4394124,2341318,Assisted,1667,259,4,3
3,VIC,McMillan,227,28,Pakenham South,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
3,VIC,McMillan,227,28,Pakenham Springs,Appointment,Pakenham Springs Primary School,5 Livingstone Boulevard,,,PAKENHAM,VIC,3810,65897,Pakenham Springs Primary School,5 Livingstone Boulevard,PAKENHAM,,,Entrance is from Henry Rd.,-38.0814286,145.4667157,2342612,Assisted,2186,250,5,3
3,VIC,McMillan,227,28,Pakenham Upper (McMillan),Current,Pakenham Upper Public Hall,Bourkes Creek Rd,,,PAKENHAM UPPER,VIC,3810,31495,Public Hall,Bourkes Creek Rd,PAKENHAM UPPER,,,There is no fencing. Access is via the carpark from Bourkes Creek Rd.,-38.01,145.511,2341404,Assisted,350,0,0,1
3,VIC,McMillan,227,28,Poowong,Current,Poowong Consolidated School,Main St,,,POOWONG,VIC,3988,3650,Consolidated School,Main St,POOWONG,,Gardner Lane,Gateway entrance to the polling place is  from the car park in Gardner Lane.,-38.3423,145.766,2200904,Assisted,503,24,2,0
3,VIC,McMillan,227,28,Port Franklin,Current,Port Franklin Public Hall,9-11 Tramway St,,,PORT FRANKLIN,VIC,3964,3812,Public Hall,9-11 Tramway St,PORT FRANKLIN,,,Entrance to the polling place is in Tram way St.,-38.6836,146.278,2200506,Assisted,181,4,0,1
3,VIC,McMillan,227,28,Rawson,Current,Rawson Primary School,Knotts Siding Rd,,,RAWSON,VIC,3825,4423,Primary School,Knotts Siding Rd,RAWSON,,,Gateway entrance to the polling place is from the school carpark which is accessible from Knott's Siding Rd.,-37.973,146.394,2180407,Assisted,219,42,0,1
3,VIC,McMillan,227,28,Rokeby,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
3,VIC,McMillan,227,28,Tanjil South,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
3,VIC,McMillan,227,28,Tarwin Lower,Current,Tarwin Lower Mechanics Institute Hall,Riverside Dr,,,TARWIN LOWER,VIC,3956,3830,Mechanics Institute Hall,Riverside Dr,TARWIN LOWER,,,Entrance to the polling place is in Riverside Dr.,-38.6993,145.868,2200214,Assisted,683,142,2,2
3,VIC,McMillan,227,28,Tetoora Road,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
3,VIC,McMillan,227,28,Thorpdale,Current,Thorpdale Public Hall,Johnstone St,,,THORPDALE,VIC,3835,3832,Public Hall,Johnstone St,THORPDALE,,,Entrance to the polling place is in John stone St.,-38.2874,146.178,2180513,Assisted,358,23,0,1
3,VIC,McMillan,227,28,Toomuc Valley,Current,Toomuc Valley Hall,Leppitt Rd,,,PAKENHAM UPPER,VIC,3810,4912,Toomuc Valley Hall,Leppitt Rd,PAKENHAM UPPER,,,Gateway entrance to the polling place is in Leppitt Rd.,-38.0244,145.448,2341407,Assisted,257,83,0,1
3,VIC,McMillan,227,28,Toora,Current,Toora Community Hall,Gray St,,,TOORA,VIC,3962,3835,Community Hall,Gray St,TOORA,,,Street entrance to the polling place is from Gray St. Car park at the rear of th e polling place is entered via Dutton St .,-38.6641,146.325,2200605,Assisted,511,50,2,1
3,VIC,McMillan,227,28,Trafalgar,Current,Trafalgar Primary School,84 School Road,,,TRAFALGAR,VIC,3824,4427,Primary School,84 School Rd,TRAFALGAR,,,Gateway entrance to the polling place is  from School Rd.,-38.2152994,146.163568,2180507,Assisted,2079,117,5,2
3,VIC,McMillan,227,28,Tynong,Current,Tynong Public Hall,Railway Ave,,,TYNONG,VIC,3813,4433,Public Hall,Railway Ave,TYNONG,,,Entrance to the polling place is from th e carpark accessed via Railway Ave.,-38.0843,145.628,2342608,Assisted,338,16,0,1
3,VIC,McMillan,227,28,Tynong North,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
